Sentiment Scores,Classification,Tweet Text
-0.033803723509605865,Neutral,they are all cowards from trump down to the wimpiest devin nunes republicans will never live this down kavanaugh will have an asterisk by his name well after his death
0.16433823529411762,Positive,mark cuban to pay 10 million following nbas sexual harassment investigation  via yahoosports hey mark you laughed at fox you said you could beat trump you think you are so cool guess what cant guy your way out of this prick
-0.024159663865546216,Neutral,whitehouse nytimes gee what do you know experts wrong trump right yet again
0.08823529411764708,Unsure,guacaintfree em likes trump you aint never touch another woman soooo
0.0029411764705882526,Neutral,realdonaldtrump trump hasnt even read his own books according to the ghost writers who actually wrote them  everyone should read disclosure fear fire amp fury unhinged and everything trump touches dies
0.020588235294117643,Neutral,to stop refugees trump wants spain to build a wall across the  entire sahara desert
0.05408032531194297,Unsure,tthetoad thetrumptrain realdonaldtrump probably the most factless statement youve made yet you may want to try some other new sources besides the leftist bullet points you just listed impossible for trump to have nearly undone everything obama did and still have booming economic success
-0.43137254901960786,Negative,briankarem realdonaldtrump does it strike anyone as odd  translation im so insecure that i cant determine how i feel about something until ive done some market research and determined how others feel about it also im totes not a partisan hack  in addition f trump
-0.02941176470588236,Neutral,it must be embarrassing to be a man these days gop kavanaughconfirmation trump
0.09607843137254903,Unsure,he is a button pusher in the most robotic of specialties that doesnt make him an expert  former launch officer warns trump strategy fuels nuclear arms race  cnnpolitics
-0.06801470588235292,Unsure,kwikwarren ive heard that as well from an evangelical woman she said that jesus will save trump why i was wondering  i mean why him
0.02941176470588236,Neutral,all he cares about is maintaining the trump brand
0.21551120448179276,Positive,seanhannity sessions is doing a quiet fine job wish that hed get more active on trumps other wishes but what hes doing on illegal migration has been great
0.02941176470588236,Neutral,joefaz politicususa a republican no doubt trump will probably pardon him
0.07941176470588236,Unsure,trumpbrett  old fashioned joke award
0.1470588235294118,Unsure,robreiner the reason is the bk promised to protect trump from any litigation and investigations
0.21918767507002804,Positive,trump needs kavanaugh to be appointed it could be a bigger blow than actually winning the presidency also trump must fire jeff sessions right now
0.4632352941176471,Positive,lol trump putting his mouth to good use by opening our familys coronas
0.18823529411764708,Positive,trumps economic plans are working well
0.05441176470588236,Unsure,analysis trump apparently hasnt read docs he ordered declassified
0.02941176470588236,Neutral,the united nations braces for donald trumps second appearanceand he should prepare for blowback
0.3382352941176471,Positive,cue the church of hillary acolytes chanting but she is a better narcissist than trump
-0.17752100840336135,Negative,trump is a brain slowly being deprived of oxygen before our eyes but occasionally he gets it right iraq was a horrifyingly bad decision
0.07823529411764708,Unsure,donaldjtrumpjr realdonaldtrump thanks sk you understand peace can only be accomplished if the two koreas reach an agreement that satisfies both leaders trump is not and should not intervene or take credit sorry jr get back to killing elephants
-0.02941176470588236,Neutral,donald trumps failing grade on ethics  cnn politics
0.02941176470588236,Neutral,qns realestate   flushing queens nyc area   trump opportunityzone funds
0.02941176470588236,Neutral,mitchellvii trumpworld liberal lunacy on steroids
0.02941176470588236,Neutral,keithboykin trump defending puleeze im considering the source
-0.30490196078431375,Negative,if you are disgusted with our government and really despise trump follow me and ill follow you
0.07941176470588236,Unsure,lawrence the same reason trump wants his investigation stopped i assume
0.27941176470588236,Positive,i just want to point out ahead of time that the reason trump is okay with waiting until after the midterms for kavanaugh vote is that he knows the fix is already in hacked diebold paperballots gopcheaters theycantwininafairrace gerrymandering
0.011764705882352927,Neutral,amiet75 eabarkerlaw josephgaetano chuckgrassley one of these 2 wants an investigation one does not trump cultists hurlshes the liar a liar would not be pushing for an investigation this is not rocket science one wants no investigation why
0.05966386554621851,Unsure,miniver if you spent time with someone like my late father you might come to understand the attraction trump represents a certain aging swaggering whitemale worldview economically comfortable yet culturally insecure to the point of bedwetting paranoia
0.03641176470588236,Neutral,kimgraff3 thetrumptrain there was a letter prepared with 65 women that he claimed he went to high school with he went to an all boys high school only two of the 65 collaborated the story the other 63 had no idea what they were talking about please do research any other station then the fox station
0.02941176470588236,Neutral,everything mr president donald trump touches turns to s
0.02941176470588236,Neutral,flynn update and trumps declassification order
0.37941176470588234,Positive,i agree 100  senator warren  do what the gop did to obama a no vote untill after election  we dont need another trump as a judge in the superior court to not convict trump for treason
0.016013071895424863,Neutral,wringer588 cryborg its definitely a tough one but i had to give it to old man trump
0.08490196078431374,Unsure,patriotimigrant eu president jean paul juncker made a very nice tariffs negotiation amp deal w pres trump  however he said in a news article that he would see to it that the usa is broken up in parts  like austin tx amp the state of ohio for starters  who is behind this nwo take over
0.08823529411764708,Unsure,kafferf senorrinhatch thats why they get along so well with trump hes the same way
0.18850267379679145,Positive,realaustinball  i despise politicspresident trump has put a new spin on it however quite refreshing
0.3308823529411765,Positive,trumps approval rating is higher than support for kavanaugh to supreme court poll
0.02941176470588236,Neutral,foxnews hillaryclinton realdonaldtrump hey hillary heres a question will you accept the outcome of the election no matter what the outcome is i guess tha question should have been asked of both candidates but apparently it only applied to president trump
0.12941176470588237,Unsure,realdonaldtrump thanks trump im so woke now
0.08676470588235291,Unsure,lindseygrahamsc you have become vastly more pitiful than you were before trump stole the election and thats really saying a lot  americans say nokavanaughconfirmation listen to the people who pay you
0.02941176470588236,Neutral,thetrumptrain time to turn the tables
0.3044117647058824,Positive,amazing exclusive from cedickson trump admin diverts funds from cancer aids research to pay for more child immigrant detention detention facilities   via yahoonews
-0.27941176470588236,Negative,tbgirlnow mmflint hes a republican picked by trump  who also is careless amp thinks he can get away with anything too
0.1725490196078432,Positive,the forces of evil were against president trump and he won by a landslide he took state after state forces much greater and powerful were at work sheltering him guiding and consoling him heaven is watching over us
0.02941176470588236,Neutral,vivjua fernandoamandi josef stalin was a dictator donald trump is the president of the united states if you dont like it you can vote against him in 2020
-0.17058823529411765,Negative,trump promised coal miners the world hes made their lives worse in every way that matters  via flipboard
0.4882352941176471,Positive,dai ads us says volkswagen to leave iran in symbolic win for trump via
